commit	val_bpb	memory_gb	status	description	delta	strategy	rationale
48b11d6	1.095543	22.3	discard	VALUE_EMBEDDING_LR 0.55 to 0.535 (AdamW value-embed group)	0.831	BREAK	δ=0.831>θ_break(0.7); val_bpb worse vs best 1.094849 (81c9e0f); training_seconds 300.1; reset 81c9e0f
9d212ec	1.095543	22.3	discard	UNEMBEDDING_LR 0.004 to 0.00395 (lm-head AdamW)	0.920	BREAK	δ≈0.92>θ_break; val_bpb worse vs best 1.094849 (81c9e0f); training_seconds 300.1; reset 81c9e0f
4d6ced0	1.095543	22.3	discard	RoPE inverse-frequency base 53500 to 53400	1.000	BREAK	δ=1.0 (S=RR=1.0 last10); val_bpb worse vs best 1.094849 (81c9e0f); training_seconds 300.1; num_steps 368; reset 81c9e0f
5a6fda7	1.095017	22.3	discard	FINAL_LR_FRAC 0.0315 to 0.03152 warmdown floor	1.000	BREAK	δ=1.0>θ_break; val_bpb worse vs best 1.094849 (81c9e0f); training_seconds 300.8; reset 81c9e0f
863f83c	1.095073	22.3	discard	Muon momentum ramp step/480 to step/482 slower beta rise	1.000	BREAK	δ=1.0>θ_break; val_bpb worse vs best 1.094849 (81c9e0f); training_seconds 300.0; reset 81c9e0f
1fa6c89	1.094876	22.3	discard	UNEMBEDDING_LR 0.004 to 0.00402 lm-head AdamW	1.000	BREAK	δ=1.0>θ_break; val_bpb 1.094876 worse vs best 1.094849 (81c9e0f); training_seconds 300.8; reset 81c9e0f
85d54b7	1.095142	22.3	discard	FINAL_LR_FRAC 0.0315 to 0.03144 warmdown floor	1.000	BREAK	δ=1.0>θ_break; schedule-only; val_bpb worse vs best 1.094849 (81c9e0f); training_seconds 300.8
93f3012	1.095142	22.3	discard	GRAD_CLIP_NORM 1.08 to 1.075	1.000	BREAK	δ=1.0>θ_break; val_bpb worse vs best 1.094849 (81c9e0f); training_seconds 300.8
fc3a61b	1.095142	22.3	discard	Muon momentum ramp step/480 to step/485	1.000	BREAK	δ=1.0>θ_break; val_bpb worse vs best 1.094849 (81c9e0f); training_seconds 300.8
a37925c	1.095065	22.3	discard	ADAM_BETAS beta1 0.78 to 0.781	1.000	BREAK	δ=1.0>θ_break; val_bpb worse vs best 1.094849 (81c9e0f); training_seconds 300.0
b6aeec7	1.095183	22.3	discard	UNEMBEDDING_LR 0.004 to 0.00406 (lm-head AdamW)	1.000	BREAK	δ=1.0>θ_break; val_bpb worse vs best 1.094849 (81c9e0f); training_seconds 300.2; single-GPU nohup run; reset 81c9e0f
552785c	1.095183	22.3	discard	FINAL_LR_FRAC 0.0315 to 0.03148 (warmdown floor)	1.000	BREAK	δ=1.0>θ_break; val_bpb 1.095183 vs best 1.094849 (81c9e0f); training_seconds 300.2; reset 81c9e0f
5c0b896	1.095183	22.3	discard	RoPE inverse-frequency base 53500 to 53550	1.000	BREAK	δ=1.0>θ_break; val_bpb 1.095183 vs best 1.094849 (81c9e0f); training_seconds 300.2; reset 81c9e0f
ADAPT	0.000000	0.0	adapt	parameter adaptation at iter 150	0.000	ADAPT	θ_guard: 0.300→0.300; θ_break: 0.700→0.700; buckets: [0,0.2) GUARD n=5 keep=0.6; [0.6,0.8) BREAK n=20 keep=0.20; [0.8,1.0] BREAK n=104 keep=0.125; no bucket with both GUARD and BREAK ≥3 for crossover; clamp unchanged
97dfdea	1.095271	22.3	discard	Muon momentum ramp terminal 0.95 to 0.96 (step/480)	1.000	BREAK	δ=1.0>θ_break; S=RR=1.0 ID=0 last10; val_bpb worse vs best 1.094849 (81c9e0f); training_seconds 300.2; reset 81c9e0f
4b037f9	1.095271	22.3	discard	Muon momentum ramp step/480 to step/520 (terminal 0.95)	1.000	BREAK	δ=1.0>θ_break; val_bpb worse vs best 1.094849 (81c9e0f); training_seconds 300.2; reset 81c9e0f
2e241f8	1.095510	22.3	discard	FINAL_LR_FRAC 0.0315 to 0.0312 (warmdown floor)	1.000	BREAK	δ=1.0>θ_break; val_bpb worse vs best 1.094849 (81c9e0f); training_seconds 300.0; reset 81c9e0f
648d703	1.100369	22.3	discard	TOTAL_BATCH_SIZE 2^19 to 2^18 (grad_accum 2)	1.000	BREAK	δ=1.0>θ_break; val_bpb worse vs best 1.094849 (81c9e0f); training_seconds 300.4; reset 81c9e0f
116c5b6	1.096252	22.3	discard	RoPE integer positions * ROPE_TIME_SCALE 1.008	1.000	BREAK	δ=1.0>θ_break; val_bpb worse vs best 1.094849 (81c9e0f); training_seconds 300.5; reset 81c9e0f
57903b1	1.095027	22.3	discard	WINDOW_PATTERN SSLL (was SSSL)	1.000	BREAK	δ=1.0>θ_break; val_bpb worse vs best 1.094849 (81c9e0f); training_seconds 300.2; reset 81c9e0f
2b2849c	1.095926	22.3	discard	AdamW eps 1e-10 to 3e-10 (all AdamW groups)	1.000	BREAK	δ=1.0>θ_break; val_bpb worse vs best 1.094849 (81c9e0f); training_seconds 300.3; reset 81c9e0f
100043e	1.095060	22.3	discard	WARMDOWN_RATIO 0.47 to 0.475	1.000	BREAK	δ=1.0>θ_break; val_bpb worse vs best 1.094849 (81c9e0f); training_seconds 300.3; num_steps 368; reset 81c9e0f
a01726b	1.095191	22.3	discard	GRAD_CLIP_NORM 1.08 to 1.085	1.000	BREAK	δ=1.0>θ_break; last10 all discard; val_bpb worse vs best 1.094849 (81c9e0f); training_seconds 300.1; reset 81c9e0f
75f7621	0.000000	0.0	crash	VALUE_EMBEDDING_LR 0.55 to 0.548	1.000	BREAK	δ=1.0>θ_break; run.log停在~97%无val_bpb; GPU上无train进程; reset 81c9e0f
dbfd39a	1.096179	22.3	discard	RoPE inverse-frequency base 53500 to 53580	1.000	BREAK	δ=1.0>θ_break; val_bpb worse vs best 1.094849 (81c9e0f); training_seconds 300.2; reset 81c9e0f
7b90154	1.095252	22.3	discard	UNEMBEDDING_LR 0.004 to 0.00402 (lm-head AdamW)	1.000	BREAK	δ=1.0>θ_break; val_bpb worse vs best 1.094849 (81c9e0f); training_seconds 300.1; reset 81c9e0f
d2ea190	1.095503	22.3	discard	WARMDOWN_RATIO 0.47 to 0.469 (full-LR plateau)	1.000	BREAK	δ=1.0>θ_break; val_bpb worse vs best 1.094849 (81c9e0f); training_seconds 300.3; reset 81c9e0f
7924a3f	1.095585	22.3	discard	SCALAR_LR 0.5 to 0.502 (resid/x0 AdamW)	1.000	BREAK	δ=1.0>θ_break; val_bpb worse vs best 1.094849 (81c9e0f); training_seconds 300.2; single GPU after killing duplicate jobs; reset 81c9e0f
c04dfda	1.095418	22.3	discard	VALUE_EMBEDDING_LR 0.55 to 0.553 (AdamW value-embed)	1.000	BREAK	δ=1.0>θ_break; val_bpb worse vs best 1.094849 (81c9e0f); training_seconds 300.1; reset 81c9e0f
d7dacb2	0.000000	0.0	crash	Muon momentum ramp step/480 to step/485	1.000	BREAK	δ=1.0>θ_break; run interrupted mid-train (run.log truncated ~step8; duplicate pkill/GPU contention); no val_bpb; reset 81c9e0f
c1ebbce	1.095222	22.3	discard	FINAL_LR_FRAC 0.0315 to 0.03155 (warmdown floor)	1.000	BREAK	δ=1.0>θ_break; val_bpb worse vs best 1.094849 (81c9e0f); training_seconds 300.2; reset 81c9e0f
a95075a	1.095176	22.3	discard	VALUE_EMBEDDING_LR 0.55 to 0.551	1.000	BREAK	δ=1.0>θ_break; val_bpb worse vs best 1.094849 (81c9e0f); training_seconds 300.4; reset 81c9e0f
d44b7a1	1.095377	22.3	discard	Muon MATRIX_LR 0.045 to 0.04508	1.000	BREAK	δ=1.0>θ_break; val_bpb worse vs best 1.094849 (81c9e0f); training_seconds 300.4; reset 81c9e0f
20dd17c	1.095380	22.3	discard	Muon momentum ramp step/480 to step/472	1.000	BREAK	δ=1.0>θ_break; val_bpb worse vs best 1.094849 (81c9e0f); training_seconds 300.4; reset 81c9e0f
41f8c81	1.095246	22.3	discard	FINAL_LR_FRAC 0.0315 to 0.03152 warmdown floor	1.000	BREAK	δ=1.0>θ_break; val_bpb worse vs best 1.094849 (81c9e0f); training_seconds 300.5; reset 81c9e0f
7c7fdf1	1.095246	22.3	discard	WARMUP_RATIO 0 to 0.003 (0.3pct wall LR ramp)	1.000	BREAK	δ=1.0>θ_break; schedule-only micro-warmup; val_bpb worse vs best 1.094849 (81c9e0f); training_seconds 300.5; reset 81c9e0f
0a60457	0.000000	0.0	crash	MATRIX_LR 0.045 to 0.04502 (Muon)	1.000	BREAK	δ=1.0>θ_break; MCP long-run disconnect/duplicate uv train PIDs; run.log binary-mixed; no reliable val_bpb; reset 81c9e0f
cd41834	1.095300	22.3	discard	EMBEDDING_LR 0.6 to 0.599 (AdamW token embed)	1.000	BREAK	δ=1.0>θ_break; val_bpb worse vs best 1.094849 (81c9e0f); training_seconds 300.4; setsid+poll; reset 81c9e0f
13f4230	1.095300	22.3	discard	WARMDOWN_RATIO 0.47 to 0.471 (full-LR plateau)	1.000	BREAK	δ=1.0>θ_break; schedule-only; val_bpb worse vs best 1.094849 (81c9e0f); training_seconds 300.4; reset 81c9e0f
2d7687c	1.097614	22.3	discard	SCALAR_LR 0.5 to 0.492 (x0/resid AdamW)	1.000	BREAK	δ=1.0>θ_break; val_bpb worse vs best 1.094849 (81c9e0f); training_seconds 300.3; reset 81c9e0f
de19478	1.095257	22.3	discard	Muon momentum ramp step/480 to step/512	1.000	BREAK	δ=1.0>θ_break; val_bpb worse vs best 1.094849 (81c9e0f); training_seconds 300.1; nohup avoids SIGHUP kill on WSL
32b2fef	1.095529	22.3	discard	Muon WD base WEIGHT_DECAY 0.2 to 0.203	1.000	BREAK	δ=1.0>θ_break; val_bpb worse vs best 1.094849 (81c9e0f); training_seconds 300.3; reset 81c9e0f
7da9dbd	1.095529	22.3	discard	Muon MATRIX_LR 0.045 to 0.0447	1.000	BREAK	δ=1.0>θ_break; val_bpb worse vs best 1.094849 (81c9e0f); training_seconds 300.3; reset 81c9e0f
05d4896	1.096186	22.3	discard	RoPE inverse-frequency base 53500 to 53420	1.000	BREAK	δ=1.0>θ_break; val_bpb worse vs best 1.094849 (81c9e0f); training_seconds 300.4; reset 81c9e0f
fbae0db	1.088775	22.3	keep	FINAL_LR_FRAC 0.0315 to 0.03142 (warmdown floor)	1.000	BREAK	δ=1.0>θ_break before run; micro warmdown floor; val_bpb improved vs 1.094849 (81c9e0f); training_seconds 300.6
c775071	1.089084	22.3	discard	SIMPLIFY remove unused startup_time (dead assignment)	0.610	SIMPLIFY	θ_guard≤δ≤θ_break; δ=0.610; no train behavior change; val_bpb worse vs best 1.088775 (fbae0db); training_seconds 300.1; reset fbae0db
7ace7d2	1.089049	22.3	discard	SIMPLIFY shorten docstring; drop section banners (-9 LOC)	0.610	SIMPLIFY	δ≈0.61 mid-band; val_bpb worse vs best 1.088775 (fbae0db); training_seconds 300.3; reset fbae0db
edc7063	1.089028	22.3	discard	SIMPLIFY remove unused startup_time assignment	0.610	SIMPLIFY	θ_guard≤δ≤θ_break; no train math change; val_bpb worse vs best 1.088775 (fbae0db); training_seconds 300.7; reset fbae0db
9b85ee4	1.089203	22.3	discard	FINAL_LR_FRAC 0.03142 to 0.03138	0.610	BREAK	SIMPLIFY escape (3x SIMPLIFY discard); schedule-only; val_bpb worse vs best 1.088775 (fbae0db); training_seconds 300.6; reset fbae0db
0ba94ab	1.088690	22.3	keep	SIMPLIFY one-line module docstring; drop unused startup_time	0.610	SIMPLIFY	θ_guard≤δ≤θ_break (δ≈0.610); no train math change; val_bpb improved vs best 1.088775 (fbae0db); training_seconds 300.0
3156d69	1.088998	22.3	discard	SIMPLIFY polar_express one-line; trim MuonAdamW/has_ve docs	0.670	SIMPLIFY	θ_guard≤δ≤θ_break (δ≈0.670); no numeric change; val_bpb worse vs best 1.088690 (0ba94ab); training_seconds 300.4; reset 0ba94ab
1682189	1.088764	22.3	discard	SIMPLIFY one-line final summary join; merge time budget and grad_accum prints	0.669	SIMPLIFY	θ_guard≤δ≤θ_break (δ≈0.669); no train math change; val_bpb 1.088764 worse vs best 1.088690 (0ba94ab); training_seconds 300.6; reset 0ba94ab
8378f91	1.089028	22.3	discard	SIMPLIFY single print for param_counts and FLOPs/token (-1 LOC)	0.669	SIMPLIFY	θ_guard≤δ≤θ_break; no train math change; val_bpb 1.089028 worse vs best 1.088690 (0ba94ab); training_seconds 300.6; reset 0ba94ab
3c41498	1.088856	22.3	discard	FINAL_LR_FRAC 0.03142 to 0.031425 (warmdown floor micro bump)	0.669	BREAK	SIMPLIFY escape after 3x SIMPLIFY discard; schedule-only; val_bpb 1.088856 worse vs best 1.088690 (0ba94ab); training_seconds 300.6; reset 0ba94ab
f1ec550	1.089089	22.3	discard	SIMPLIFY remove has_ve docstring (one line)	0.669	SIMPLIFY	θ_guard≤δ≤θ_break; no train math change; val_bpb 1.089089 worse vs best 1.088690 (0ba94ab); training_seconds 300.6; reset 0ba94ab
e896578	1.463737	30.7	discard	BREAK DEPTH 8 to 9 (640-dim, 5 heads, 9 layers)	0.916	BREAK	δ=0.916>θ_break (S=0.9 RR=0.9 ID≈0.023); val_bpb worse vs best 1.088690 (0ba94ab); training_seconds 301.6; peak_vram 31415MB; reset 0ba94ab
20a40b6	1.093939	19.9	discard	BREAK DEPTH 8 to 7 (512-dim, 4 heads, 7 layers)	0.836	BREAK	δ≈0.836>θ_break (S=0.8 RR=0.8 on last-10 before run); val_bpb worse vs best 1.088690 (0ba94ab); training_seconds 300.6; reset 0ba94ab
84df540	1.140952	22.3	discard	BREAK TOTAL_BATCH_SIZE 2^19 to 2^20 (grad_accum 4 to 8)	0.920	BREAK	δ≈0.920>θ_break; fewer optimizer steps in 300s wall; val_bpb worse vs best 1.088690 (0ba94ab); training_seconds 300.0; reset 0ba94ab
bde3ed3	1.088898	22.3	discard	FINAL_LR_FRAC 0.03142 to 0.03141 warmdown floor	0.920	BREAK	δ=0.92>θ_break (S=RR=0.9 ID=0); val_bpb worse vs best 1.088690 (0ba94ab); training_seconds 300.2
f019769	1.088484	22.3	keep	Muon momentum ramp step/480 to step/485 (slower beta rise)	0.920	BREAK	δ=0.92>θ_break; val_bpb improved vs best 1.088690 (0ba94ab); training_seconds 300.5; single-GPU run after pkill duplicates
ADAPT	0.000000	0.0	adapt	parameter adaptation at iter 200	0.000	ADAPT	θ_guard: 0.300→0.300; θ_break: 0.700→0.700; δ-bucket cells lack ≥3 paired GUARD/BREAK labels for crossover; macro: high-δ BREAKs occasionally keep (e.g. Muon ramp); clamp unchanged
90582ab	1.088843	22.3	discard	FINAL_LR_FRAC 0.03142 to 0.031405 (warmdown floor)	0.909	BREAK	δ=0.909>θ_break(0.7); val_bpb worse vs best 1.088484 (f019769); training_seconds 300.7
7eebcd1	1.088880	22.3	discard	ADAM_BETAS beta1 0.78 to 0.775 (AdamW groups)	0.909	BREAK	δ≈0.909>θ_break(0.7); val_bpb worse vs best 1.088484 (f019769); training_seconds 300.7
