commit	val_bpb	memory_gb	status	description	delta	strategy	rationale
4d39f0d	0.000000	0.0	crash	BREAK: RoPE theta base 500k->550k (GPTConfig.rope_base)	0.879	BREAK	δ≈0.88>0.7; MCP executor 900s timeout before val_bpb (train+eval); reset 86ed9d8
bc15096	1.081915	20.6	discard	BREAK: x0_lambdas init 0.1->0.085; OMP/MKL thread caps	0.880	BREAK	δ≈0.88>0.7 stagnation; weaker x0 stream + thread caps; val_bpb worse vs best 1.076787 → reset 86ed9d8
4001b2f	1.077207	20.6	discard	BREAK: SCALAR_LR 0.5->0.56 (resid/x0 AdamW faster)	0.920	BREAK	δ≈0.92>0.7 (S=RR=0.9,ID=0); val_bpb 1.077207 vs best 1.076787 → reset 86ed9d8
b144d53	0.000000	0.0	crash	BREAK: WINDOW_PATTERN SSSL->SSLS	0.920	BREAK	δ≈0.92>0.7; no clean val_bpb (background/buffered log + executor limits); reset 86ed9d8
8a9e384	1.077121	20.6	discard	BREAK: RoPE base 500k->525k (config.rope_base); single-GPU clean run	0.920	BREAK	δ≈0.92>0.7; val_bpb 1.077121 vs best 1.076787 (86ed9d8) → reset
d61f21e	1.077217	20.6	discard	BREAK: ve_gate_channels 40->44 (wider VE gate)	0.920	BREAK	δ≈0.92>0.7; val_bpb 1.077217 vs best 1.076787 → reset 86ed9d8
eb04117	1.084783	20.6	discard	BREAK: constant Muon WD (no (1-progress) decay to zero)	0.920	BREAK	δ≈0.92>0.7; val_bpb worse vs best 1.076787 (86ed9d8) → reset 86ed9d8
e355586	1.076904	20.6	discard	BREAK: AdamW weight_decay 0.01 on lm_head only	1.000	BREAK	δ=1.0 (k=10 S=RR=1.0 ID=0); val_bpb 1.076904 vs best 1.076787 → reset 86ed9d8
7f7b0ae	1.076975	20.6	discard	BREAK: Q/K RMSNorm before RoPE (remove post-RoPE norm)	1.000	BREAK	δ=1.0 (S=RR=1.0 ID=0) last k=10; val_bpb 1.076975 vs best 1.076787 (86ed9d8) → reset
1e2062d	1.076975	20.6	discard	BREAK: Block residual scale (2*depth)^-0.5 on attn+MLP branches	1.000	BREAK	δ=1.0 last-10 stagnation; val_bpb 1.076975 vs best 1.076787 → reset 86ed9d8
f4b3850	1.408253	20.1	discard	BREAK: GQA n_kv_head=max(1,n_head//2); repeat k/v	1.000	BREAK	δ=1.0>0.7; val_bpb 1.408253 vs best 1.076787 (86ed9d8) → reset	
b539683	0.000000	0.0	crash	BREAK: RoPE rope_base 500k->515000 (GPTConfig); run.log no val_bpb (MCP executor timeout ~900s)	1.000	BREAK	δ=1.0 (S=RR=1.0,ID=0) last k=10; train reached ~step 143/300s budget then cut; reset 86ed9d8	
a4cb8b9	0.000000	0.0	crash	BREAK: FINAL_LR_FRAC 0.18->0.185; duplicate bg train / MCP wall; run.log no val_bpb	1.000	BREAK	δ=1.0 resume session; reset 86ed9d8; add stdout line-buffer + single-run retry
7ce7306	0.000000	0.0	crash	BREAK: FINAL_LR_FRAC 0.185 + line-buffer; foreground run killed by MCP ~600s wall before val	1.000	BREAK	δ=1.0; run_lbf185.log trunc ~step172; reset 86ed9d8; infra-only line-buffer recommitted separately
a097da0	1.081933	22.2	discard	BREAK: DEPTH 9 + ASPECT_RATIO 56 (n_embd 512, +1 block vs 8x64)	1.000	BREAK	δ=1.0 (k=10 S=RR=1.0 ID=0); deeper same-width stack; val_bpb 1.081933 vs best 1.076787 (86ed9d8) → reset 73a0d80
c2ee2d4	1.077095	20.6	discard	BREAK: Muon momentum ramp step/300 -> step/285	1.000	BREAK	δ=1.0 last-10 all discard/crash; faster μ→0.95; val_bpb 1.077095 vs best 1.076787 → reset 73a0d80
6bf2dbd	1.077095	20.6	discard	BREAK: RoPE inv_freq base 500000 -> 502000	1.000	BREAK	δ=1.0 (k=10 S=RR=1.0 ID=0); micro θ nudge; val_bpb 1.077095 vs best 1.076787 → reset 73a0d80
5537647	1.081074	20.6	discard	BREAK: wte init std 1.0->0.02 (GPT-2 scale)	1.000	BREAK	δ=1.0 (S=RR=1.0 ID=0); init dynamics; val_bpb worse vs best 1.076787 (86ed9d8) → reset 73a0d80
8091944	1.078365	20.6	discard	BREAK: enable CUDA/cuDNN TF32 matmul (throughput)	1.000	BREAK	δ=1.0; setsid bg run; val_bpb worse vs best 1.076787 → reset 73a0d80
9664fd0	1.078076	20.6	discard	BREAK: RoPE rope_base 500k->490k (GPTConfig)	1.000	BREAK	δ=1.0 (S=RR=1.0,ID=0); θ=490k; SM12 run ~300s train; val_bpb worse vs best 1.076787 (86ed9d8) → reset 73a0d80
a85a67b	1.082248	20.6	discard	BREAK: WARMDOWN_RATIO 0.35->0.33 (longer full-LR plateau)	1.000	BREAK	δ=1.0; screen-detached train; val_bpb worse vs best 1.076787 → reset 73a0d80
ae6532b	1.080365	20.6	discard	BREAK: MATRIX_LR 0.04->0.0395 (Muon blocks)	1.000	BREAK	δ=1.0; screen train; val_bpb worse vs best 1.076787 → reset 73a0d80
9a979d7	1.079728	20.6	discard	BREAK: VALUE_EMBED_LR 0.58 vs wte 0.6 (setup_optimizer)	1.000	BREAK	δ=1.0 (S=RR=1.0,ID=0) k=10; lower VE-only AdamW step; val_bpb worse vs best 1.076787 → reset 73a0d80
22b2825	1.081277	20.6	discard	BREAK: train-only label_smoothing 0.01 (eval via model.eval)	1.000	BREAK	δ=1.0 k=10 stagnation; mild smoothing; val_bpb worse vs best 1.076787 → reset 73a0d80
2f58ce4	1.078029	20.6	discard	BREAK: SCALAR_LR 0.5->0.48 (resid/x0 AdamW)	1.000	BREAK	δ=1.0 k=10; val_bpb 1.078029 vs best 1.076787 → reset 73a0d80
9ce4443	0.000000	0.0	crash	BREAK: value_embeds+ve_gate on all layers; run.log no val_bpb (MCP exec timeout mid-train)	1.000	BREAK	δ=1.0 (S=RR=1.0,ID=0) k=10; executor wall hit ~step157; reset 73a0d80
91135a7	1.129610	21.6	discard	BREAK: RMSNorm after each residual (post-residual sandwich norm)	1.000	BREAK	δ=1.0 k=10 stagnation; val_bpb 1.129610 vs best 1.076787 (86ed9d8/73a0d80) → reset 73a0d80
b2ebfd3	1.077206	20.6	discard	BREAK: disable TF32 for cuBLAS/cuDNN matmul (higher precision)	1.000	BREAK	δ=1.0 (k=10 S=RR=1.0 ID=0); infra completed run; val_bpb 1.077206 vs best 1.076787 → reset 73a0d80
fb41580	1.077195	20.6	discard	BREAK: RoPE inv_freq base 500k->505k (GPTConfig.rope_base)	1.000	BREAK	δ=1.0; clean nohup run; val_bpb 1.077195 vs best 1.076787 → reset 73a0d80
1ffebd4	1.077263	20.6	discard	BREAK: ADAM_BETAS beta1 0.8->0.81 (AdamW groups)	1.000	BREAK	δ=1.0 k=10 stagnation; val_bpb 1.077263 vs best 1.076787 → reset 73a0d80
69924a5	0.000000	0.0	crash	BREAK: Muon polar ns_steps 5->4; MCP executor timeout before val_bpb	1.000	BREAK	δ=1.0 k=10 S=RR=1 ID=0; wall timeout mid-train (~step143); reset 73a0d80
e760eb7	1.077379	20.6	discard	BREAK: Muon polar ns_steps 5->4 (nohup run completed)	1.000	BREAK	δ=1.0 S=1 RR=1 ID=0; val_bpb worse vs best 1.076787 (86ed9d8) → reset 73a0d80
3e1d8b6	1.421395	40.4	discard	BREAK: DEVICE_BATCH_SIZE 32->64 (grad_accum 1); run_batch64.log	1.000	BREAK	δ=1.0; val_bpb much worse vs 1.076787; peak VRAM ~40.4GB → reset 73a0d80
36d62ca	1.079366	20.6	discard	BREAK: LOGIT_SOFTCAP 15->17; setsid/nohup single proc run.log	1.000	BREAK	δ=1.0 k=10 stagnation; val_bpb worse vs best 1.076787 (86ed9d8) → reset 73a0d80
07262b5	1.078966	20.1	discard	BREAK: GQA n_kv_head half + KV repeat_interleave for SDPA	1.000	BREAK	δ=1.0 (S=RR=1.0,ID=0) k=10 stagnation; val_bpb 1.078966 vs best 1.076787 (86ed9d8) → reset 73a0d80
def3fcf	1.077285	20.6	discard	BREAK: RoPE base 500k->495k (_precompute_rotary default)	1.000	BREAK	δ=1.0 k=10; val_bpb 1.077285 vs best 1.076787 → reset 73a0d80
7815cf4	1.078232	20.6	discard	BREAK: ADAM_BETAS beta1 0.8->0.79 (AdamW groups)	1.000	BREAK	δ=1.0 k=10; val_bpb 1.078232 vs best 1.076787 → reset 73a0d80
fc74ba1	1.078232	20.6	discard	BREAK: UNEMBEDDING_LR 0.0035->0.00365 (lm_head)	1.000	BREAK	δ=1.0 k=10; val_bpb 1.078232 vs best 1.076787 → reset 73a0d80
33467ae	1.076708	20.6	keep	BREAK: cudnn.benchmark=True (fixed-shape step time)	1.000	BREAK	δ=1.0 (S=RR=1.0,ID=0); cuDNN autotune; val_bpb improved vs 1.076787
0b0958f	1.256920	20.6	discard	BREAK: UNEMBEDDING_LR 0.0035->0.00345; run_unemb345.log	0.920	BREAK	δ=0.92; ~183 steps/300s + log interleave (autotune spikes); not comparable; reset 33467ae
16b6aeb	1.077414	20.6	discard	BREAK: ve_gate_channels 40->42 (VE gate from emb prefix)	0.920	BREAK	δ=0.92; clean run_ve42.log; val_bpb worse vs best 1.076708; reset 33467ae
ff6c8e3	0.000000	0.0	crash	BREAK: WINDOW_PATTERN SSSL->SLSS; run.log no val_bpb (MCP executor timeout mid-train)	0.920	BREAK	δ≈0.92>0.7; SLSS banded schedule; train ~15% when cut; reset 33467ae
1ea33c5	0.000000	0.0	crash	BREAK: WINDOW_PATTERN SSSL->SSLL; no clean val (stale SLSS partial run.log; bg train not polled to completion)	0.920	BREAK	δ≈0.92>0.7; infra/polling; reset 33467ae
0b2967c	1.078206	20.6	discard	BREAK: MLP fused SiLU(gate)*up -> SwiGLU (w_gate/w_up/w_down)	0.920	BREAK	δ=0.92 (S=0.9,RR=0.9,ID=0); run.log val complete; worse vs best 1.076708 → reset 33467ae
661b3c4	1.077177	20.6	discard	BREAK: WARMDOWN_RATIO 0.35->0.34 (longer mid-plateau)	0.920	BREAK	δ=0.92>0.7; run_wd034.log clean; val_bpb worse vs best 1.076708 (33467ae) → reset 33467ae
4e72365	1.076967	20.6	discard	BREAK: FINAL_LR_FRAC 0.18->0.175 (warmdown floor sweep)	0.920	BREAK	δ=0.92>0.7; run_f0175.log; val_bpb worse vs best 1.076708 → reset 33467ae
89891e8	1.077014	20.6	discard	BREAK: Muon momentum ramp step/300->step/315	0.920	BREAK	δ=0.92>0.7; run_mu315.log; val_bpb worse vs best 1.076708 → reset 33467ae
c279a0f	1.077261	20.6	discard	BREAK: sdpa_kernel FLASH/EFFICIENT/MATH priority (non-FA3 SDPA)	0.920	BREAK	δ≈0.92>0.7; run_c279a0f.log; val_bpb worse vs best 1.076708 → reset 33467ae
3631ec3	1.077130	20.6	discard	BREAK: FINAL_LR_FRAC 0.18->0.182 (warmdown floor)	0.920	BREAK	δ≈0.92>0.7; run_3631ec3.log; val_bpb worse vs best 1.076708 → reset 33467ae
d2383fb	1.077022	20.6	discard	BREAK: WARMDOWN_RATIO 0.35->0.345 (longer full-LR plateau)	1.000	BREAK	δ=1.0 (S=RR=1.0,ID=0) k=10; val_bpb worse vs best 1.076708 (33467ae) → reset
710d6ac	1.077492	20.6	discard	BREAK: ADAM_BETAS beta2 0.95->0.948 (AdamW groups)	1.000	BREAK	δ=1.0 k=10 post-d2383fb; lower AdamW beta2; val_bpb worse vs best 1.076708 → reset 33467ae
9edc497	1.077024	20.6	discard	BREAK: SCALAR_LR 0.5->0.51 (resid/x0 AdamW)	1.000	BREAK	δ=1.0 k=10 stagnation; slightly faster scalar AdamW; val_bpb worse vs best 1.076708 → reset 33467ae
64895cc	1.077215	20.6	discard	BREAK: RoPE _precompute_rotary base 500k->498k	1.000	BREAK	δ=1.0 k=10; θ between failed 495k and 500k; val_bpb worse vs best 1.076708 → reset 33467ae
059ea2d	1.288607	20.6	discard	BREAK: EMBEDDING_LR 0.6->0.635 (wte/VE AdamW)	1.000	BREAK	δ=1.0 k=10 stagnation; higher emb LR; val_bpb worse vs best 1.076708 → reset 33467ae
cb43371	1.078769	20.6	discard	BREAK: wte init std 1.0->0.92 (normal init)	1.000	BREAK	δ=1.0 stagnation; mild wte shrink; val_bpb 1.078769 vs best 1.076708; run_wte092.log; reset 33467ae
e93c7ff	0.000000	0.0	crash	BREAK: attention QKV+c_proj bias=True; block 1D biases AdamW	1.000	BREAK	δ=1.0 k=10 stagnation; MCP 900s timeout mid-train (~step138) no val_bpb; reset 33467ae
232ac6e	1.077183	20.6	discard	BREAK: attention QKV+c_proj bias=True; AdamW on 1D block biases (cherry-pick)	1.000	BREAK	δ=1.0; nohup completed run; val_bpb 1.077183 vs best 1.076708 (33467ae) → reset
5b28e66	1.076899	20.6	discard	BREAK: RoPE inv_freq base 500000->501000	1.000	BREAK	δ=1.0 k=10 stagnation; val_bpb 1.076899 vs best 1.076708 (33467ae) → reset
3ac1a48	0.000000	0.0	crash	BREAK: RoPE base 500k->504k; run.log truncated before val	1.000	BREAK	δ=1.0 k=10 S=RR=1 ID=0; MCP HTTP timeout mid-train (~15pct); reset 33467ae
a2884b5	1.076959	20.6	discard	BREAK: RoPE inv_freq base 500k->504k (screen run_r504k.log)	1.000	BREAK	δ=1.0 k=10 S=RR=1 ID=0; val_bpb 1.076959 vs best 1.076708 (33467ae) → reset
5c64b92	1.090576	21.8	discard	BREAK: HEAD_DIM 128->112 (n_embd 560 n_head 5)	1.000	BREAK	δ=1.0 last-10 stagnation; val_bpb worse vs best 1.076708 (33467ae); run_h112.log → reset
f558e40	1.078085	20.6	discard	BREAK: RoPE inv_freq base 500k->508k (_precompute default)	1.000	BREAK	δ=1.0 k=10 stagnation; val_bpb worse vs best 1.076708; run_r508k.log → reset 33467ae
41ce7c3	0.000000	0.0	crash	BREAK: AdamW wd 0.005 on wte+value_embeds; run.log no val_bpb	1.000	BREAK	δ=1.0 last-10 S=RR=1 ID=0; MCP executor ~900s wall mid-train (~step142); reset 33467ae
0c49a30	0.000000	0.0	crash	BREAK: same emb wd retry; empty run.log / orphaned GPU compile procs	1.000	BREAK	δ=1.0; background PID died; torch inductor workers stuck; reset 33467ae
cb5fa9f	1.255139	20.6	discard	BREAK: EMBEDDING_ADAM_WD 0.002 + TORCHINDUCTOR_COMPILE_THREADS=1 (wte/VE)	1.000	BREAK	delta=1.0 k=10 S=RR=1 ID=0; mild emb WD; val_bpb 1.255 vs best 1.076708 (33467ae) -> reset
b11bbe2	1.080798	20.6	discard	BREAK: trunc_normal_ wte init (std=1,a=-2,b=2)	1.000	BREAK	delta=1.0 k=10; val_bpb 1.080798 vs best 1.076708 (33467ae) -> reset
a1e18c6	0.000000	0.0	crash	BREAK: SwiGLU FFN hidden 3n->(10n)//3; train cut by MCP timeout	1.000	BREAK	δ=1.0 k=10 S=RR=1 ID=0; run.log no val_bpb (~15pct); reset 33467ae
60ca6d5	1.076901	20.6	discard	BREAK: WARMDOWN_RATIO 0.35->0.36 (earlier decay segment)	1.000	BREAK	δ=1.0 k=10; val_bpb 1.076901 vs best 1.076708; single proc poll completed; reset 33467ae
59ce1c0	1.076951	20.6	discard	BREAK: clip_grad_norm 1.0->1.02 (pre-Muon)	1.000	BREAK	δ=1.0 k=10; setsid bg train; val_bpb 1.076951 vs best 1.076708; reset 33467ae
fc977f8	0.000000	0.0	crash	BREAK: MLP branch residual dropout p=0.05 (train only)	1.000	BREAK	δ=1.0 k=10 S=RR=1 ID=0; MCP HTTP timeout mid-train (~15pct); run.log no val_bpb; reset 33467ae
636cc03	1.080772	20.8	discard	BREAK: MLP residual dropout p=0.05 (nohup full run)	1.000	BREAK	δ=1.0 k=10; val_bpb 1.080772 vs best 1.076708 (33467ae) → reset
ae708af	1.080772	20.8	discard	BREAK: SDPA attention dropout_p=0.05 (non-FA3 train)	1.000	BREAK	δ=1.0 k=10 stagnation; val_bpb ties MLP-drop run; worse vs best 1.076708 → reset 33467ae
51d0571	1.077415	20.6	discard	BREAK: FINAL_LR_FRAC 0.18->0.19 (warmdown floor)	1.000	BREAK	δ=1.0 k=10; interpolate vs failed 0.17/0.20; val_bpb 1.077415 vs best 1.076708 → reset 33467ae
